sample,gender,geometry_status,geometry_plane_y_m,geometry_y_norm,geometry_circumference_cm,geometry_fallback_used,literature_status,literature_plane_y_m,literature_y_norm,literature_circumference_cm,literature_fallback_used,anatomical_status,anatomical_plane_y_m,anatomical_y_norm,anatomical_circumference_cm,anatomical_fallback_used,delta_y_norm_geometry_minus_anatomical,delta_y_mm_geometry_minus_anatomical,delta_c_cm_geometry_minus_anatomical,delta_y_norm_geometry_minus_literature,delta_y_mm_geometry_minus_literature,delta_c_cm_geometry_minus_literature,delta_y_norm_literature_minus_anatomical,delta_y_mm_literature_minus_anatomical,delta_c_cm_literature_minus_anatomical,primary_measurements_passed
p000444,female,baseline,-0.1967448336482048,0.6382137619500898,83.3867283592829,False,baseline,-0.25470419228076935,0.6038536416419084,85.74432860775177,False,frozen_v1,-0.27019791523478126,0.5946684781535331,87.1392071366208,False,0.043545283796556755,73.45308158657646,-3.752478777337899,0.034360120308181474,57.959358632564545,-2.35760024846887,0.00918516348837528,15.493722954011913,-1.3948785288690289,True
p000456,male,baseline,-0.20848896533250807,0.6403642757835653,88.10099007475554,False,baseline,-0.2642388418316841,0.6088935304030675,90.74274907448977,False,frozen_v1,-0.26303995541774816,0.60957030049553,90.6747071859892,False,0.03079397528803529,54.55099008524009,-2.5737171112336625,0.03147074538049777,55.74987649917604,-2.641758999734222,-0.0006767700924624753,-1.1988864139359512,0.06804188850055937,True
p000475,female,baseline,-0.1940890571475029,0.6419006354554541,81.71140714806056,False,baseline,-0.25320999324321747,0.6071729641665585,84.13137389918958,False,frozen_v1,-0.2689145439830687,0.597948102182804,85.61854597859512,False,0.04395253327265003,74.82548683556578,-3.9071388305345636,0.034727671288895534,59.12093609571456,-2.4199667511290244,0.009224861983754495,15.70455073985122,-1.4871720794055392,True
p000486,male,baseline,-0.1952912447452545,0.6446740097181631,90.35834312155556,False,baseline,-0.25620055943727493,0.6095969340739361,92.59396656967073,False,frozen_v1,-0.255289038794895,0.6101218698524079,92.53633513689546,False,0.03455213986575523,59.997794049640504,-2.177992015339896,0.03507707564422702,60.90931469202043,-2.235623448115163,-0.0005249357784717912,-0.911520642379926,0.057631432775266944,True
p000573,female,baseline,-0.19454202353954314,0.6451122175597229,84.0149802602056,False,baseline,-0.251790426671505,0.611882357113233,86.39081615204083,False,frozen_v1,-0.2672262321581029,0.60292263711866,87.58671713427037,False,0.04218958044106291,72.6842086185598,-3.5717368740647686,0.0332298604464899,57.24840313196184,-2.375835891835223,0.008959719994573012,15.435805486597953,-1.1959009822295457,True
