sample,gender,height_cm,shoulder_joint_cm,shoulder_literature_cm,shoulder_acromion_cm,waist_geometry_cm,waist_literature_cm,waist_anatomical_cm,hip_geometry_cm,hip_literature_cm,chest_literature_cm,chest_focused_control_cm
p000444,female,168.682062625885,30.77429234981537,32.25153088569641,32.05146789550781,83.3867283592829,85.74432860775177,87.1392071366208,100.88264567746361,100.59045118785406,99.0692807876959,99.07188670346679
p000456,male,177.14825868606567,33.504822850227356,34.93441045284271,34.78338122367859,88.10099007475554,90.74274907448977,90.6747071859892,102.01859196299625,101.845217000886,105.04828946765883,105.03178267127538
p000475,female,170.24158239364624,30.223751068115234,31.747645139694214,31.537532806396484,81.71140714806056,84.13137389918958,85.61854597859512,99.90292956080573,99.56750650116064,97.60309005261321,97.60514109297695
p000486,male,173.64422082901,33.06136727333069,34.38650965690613,34.208881855010986,90.35834312155556,92.59396656967073,92.53633513689546,105.05206274135949,104.95083459829226,106.62386955058287,106.61229196913702
p000573,female,172.28000164031982,31.24920129776001,32.792308926582336,32.59209096431732,84.0149802602056,86.39081615204083,87.58671713427037,100.33830851495729,100.10101855792826,99.84953553605592,99.84788954768376
