sample,geometry_status,geometry_plane_y_m,geometry_y_norm,geometry_circumference_cm,literature_status,literature_plane_y_m,literature_y_norm,literature_circumference_cm,delta_y_norm_geometry_minus_literature,delta_y_mm_geometry_minus_literature,delta_c_cm_geometry_minus_literature,primary_measurements_passed
p000444,baseline,-0.4632624878883361,0.4802137619500898,100.88264567746361,baseline,-0.44026026129722595,0.4938502012012055,100.59045118785406,-0.013636439251115684,-23.002226591110176,0.29219448960955674,True
p000456,baseline,-0.4812972791194915,0.48636427578356534,102.01859196299625,baseline,-0.4609237611293793,0.49786510479762225,101.845217000886,-0.011500829014056912,-20.373517990112223,0.17337496211025893,True
p000475,baseline,-0.4596659210324288,0.4859006354554541,99.90292956080573,baseline,-0.43835753202438354,0.4984171952062891,99.56750650116064,-0.012516559750834988,-21.30838900804527,0.33542305964509467,True
p000486,baseline,-0.4696491136550903,0.4866740097181631,105.05206274135949,baseline,-0.44923388957977295,0.49843093659879945,104.95083459829226,-0.011756926880636343,-20.415224075317372,0.10122814306723171,True
p000573,baseline,-0.4598532214760781,0.4911122175597229,100.33830851495729,baseline,-0.43934789299964905,0.5030145443741586,100.10101855792826,-0.011902326814435704,-20.505328476429053,0.23728995702903433,True
